Branch,0 - 3 days,4 - 10 days,11 - 15 days,16+ days
BOG,2034661.47,527723.02,19479.87,24638.01
BSL,3464174.63,573400.13,10687.08,117091.74
COM,2653822.31,185298.7,3828.95,17351.0
COX,1641720.71,1536519.66,259493.43,5215.21
CTG,1863592.8,765304.45,0.01,-1.32
CTN,1908597.4,360253.8,-0.01,28356.14
DNJ,1816548.87,145675.92,0.0,62031.59
FEN,2225319.08,365339.87,0.0,15.88
FRD,2456989.03,368394.29,12729.78,10021.6
GZP,1626510.4,83123.9,0.0,8289.56
HZJ,2512949.73,320030.29,6094.37,9466.68
JES,1945139.96,263011.16,0.01,22330.52
KHL,1401565.08,220916.41,24647.24,2403.0
KRN,1263677.92,117587.9,0.0,-0.48
KSG,1013197.58,466242.8,0.0,38027.77
KUS,2268040.66,306168.03,0.0,4849.98
MHK,2642389.03,132326.63,4199.61,74308.85
MIR,1544004.72,15959.6,0.01,-0.73
MLV,1533139.62,180531.28,0.0,2678.64
MOT,1645349.58,68939.75,704.17,80359.0
MYM,2177020.75,208670.25,13951.42,29093.32
NAJ,3239756.55,742946.61,-0.01,28064.58
NOK,2409781.4,514601.17,-0.01,146564.02
PAT,2762620.87,333645.17,5668.69,5349.79
PBN,810431.99,340589.84,2693.77,118.77
RAJ,2697549.66,279170.29,-0.01,24280.26
RNG,3208379.0,267954.25,0.0,53840.58
SAV,2150384.73,1154790.66,-0.01,20510.26
SYL,2458889.76,413434.1,41790.71,35565.03
TGL,3003234.24,442748.69,0.0,-435.65
VRB,2934578.4,825468.62,-0.01,93968.04
