Branch,0 - 3 days,4 - 10 days,11 - 15 days,16 - 30 days,31 - 90 days,91 - 201 days,202+ days
BOG,269041.37,386439.65,108332.41,118058.61,89228,9921.17,0.12
BSL,256952.82,959196.23,601118.78,415870.51,374422.53,6676.82,14735.64
COM,234934.5,670653.14,262856.81,343913.45,126947.54,0.02,0.25
COX,177519.51,344658.25,124789.39,442782.75,213211.1,52522.63,62634.64
CTG,424550.48,576492.81,368007.34,555594.64,702869.31,38487.94,47580.41
CTN,232395.29,591743.83,229248.53,204769.21,285020.11,46922.51,79236.7
DNJ,328299.38,443154.68,134833.44,191234.12,82450.16,0.01,4978.17
FEN,179135.51,100623.18,81904.03,38877.27,127863.24,9898.44,0.09
FRD,326888.45,370560.54,194603,246499.84,182180,4471.25,0.13
GZP,317538.18,819242.99,420463.31,456131.77,597116.94,6160.21,5064.57
HZJ,182426.57,541048.24,688299.58,413306.86,186832.08,25662.38,17015.24
JES,450886.38,215737.02,334507,325821.35,66993.72,41501.6,0.15
KHL,170150.97,368455.63,191940.81,271926.19,139750.87,259508.06,259728.58
KRN,87326.55,307637.93,131146.95,188157.35,38040.92,0,0.03
KSG,191969.36,172257.42,66169.88,65239.06,105585.9,304712.42,20196.54
KUS,218021.77,215199.37,133507.46,161414.49,36370.21,0,0.15
MHK,448700.2,1533009.72,639968.44,1370286.07,3153532.11,185668.56,162268.14
MIR,323464.03,592616.6,146005.1,415647.77,684935.43,0.05,20124.73
MLV,182079.17,425278.13,532959.82,236997.05,213394.03,0.01,156805.04
MOT,225501.83,523492.45,321281.66,476096.7,1164594.98,72491.68,43719
MYM,218603.14,292566.39,122246.21,202588.35,122022.9,0.01,27766.35
NAJ,240587.3,588399.04,225413.11,479706.96,517559.21,29242.65,29901.73
NOK,257295.72,160902.77,381966.51,339163.7,157384.02,0,80319.05
PAT,137321.63,334107.46,270837.92,176218.48,76510.19,0,0.08
PBN,235688.05,149641.23,143456.61,176009.24,58593.23,0,18868.65
RAJ,193573.49,530953.4,240162.63,354265.53,124481.1,0,566625.96
RNG,336569.62,386163.5,358987.04,562730.05,597621.12,57123.03,8032.31
SAV,224130.67,547268.43,398730.13,392264.86,332092.14,26377.51,6385.14
SYL,391091.75,554626.64,596414.83,384383.47,336036.07,24576.68,179345.13
TGL,177500.35,44240.05,49276.14,9878.48,13830.61,0.01,9821.26
VRB,62389.8,726460.03,344345.48,206401.8,289213.3,0.01,0.04
